,dataset,bb,distance,method
24,spam,RF,0.9803300055843892,wordnet
25,spam,RF,0.9663990488889332,wordnet
26,spam,RF,0.9543049777264974,wordnet
27,spam,RF,0.9512558534194848,wordnet
28,spam,RF,0.9545913845915556,wordnet
29,spam,RF,0.9285140632100862,wordnet
30,spam,RF,0.8880106605085614,wordnet
31,spam,RF,0.899308782801133,wordnet
32,spam,RF,0.9439774551267794,wordnet
33,spam,RF,0.9537666704361536,wordnet
34,spam,RF,0.9798584281162572,wordnet
35,spam,RF,0.9121441437271918,wordnet
36,spam,RF,0.9320164655144004,wordnet
37,spam,RF,0.9675647100723456,wordnet
38,spam,RF,0.9294796107657936,wordnet
39,spam,RF,0.9685793296872915,wordnet
40,spam,RF,0.9379876316680223,wordnet
41,spam,RF,0.9551272529029592,wordnet
42,spam,RF,0.9773013878238986,wordnet
43,spam,RF,0.9682290277899316,wordnet
44,spam,RF,0.9553361695933038,wordnet
45,spam,RF,0.9718061300047574,wordnet
46,spam,RF,0.9519395578387196,wordnet
47,spam,RF,0.967065166977234,wordnet
48,spam,RF,0.9695713083660308,wordnet
49,spam,RF,0.9496288960472092,wordnet
50,spam,RF,0.9652371465567332,wordnet
51,spam,RF,0.9680194687620728,wordnet
52,spam,RF,0.9808455671165118,wordnet
53,spam,RF,0.959740352096146,wordnet
54,spam,RF,0.9794966477470496,wordnet
55,spam,RF,0.9621722291921332,wordnet
56,spam,RF,0.9763500150616592,wordnet
57,spam,RF,0.9158949923777108,wordnet
58,spam,RF,0.9715560785456244,wordnet
59,spam,RF,0.9275246409931504,wordnet
60,spam,RF,0.973207460609413,wordnet
61,spam,RF,0.9541297218902192,wordnet
62,spam,RF,0.9693491979846012,wordnet
63,spam,RF,0.9708920284897856,wordnet
64,spam,RF,0.9775462836313016,wordnet
65,spam,RF,0.977448003445638,wordnet
66,spam,RF,0.9219704226935724,wordnet
67,spam,RF,0.9728609128213308,wordnet
68,spam,RF,0.9851197296709294,wordnet
69,spam,RF,0.9426182100021436,wordnet
70,spam,RF,0.9576127493622302,wordnet
71,spam,RF,0.96205838940181,wordnet
72,spam,RF,0.9548901053425004,wordnet
73,spam,RF,0.980928574688025,wordnet
74,spam,RF,0.9730462655478408,wordnet
